,Unnamed: 0,TP,FP,Confi,iou,acc_tp,acc_fp,precision,recall
379,379,0.0,1.0,0.986467182636261,0.6260032102728732,0.0,1.0,0.0,0.0
62,62,0.0,1.0,0.9854840040206908,0.7169965821703218,0.0,2.0,0.0,0.0
390,390,0.0,1.0,0.9854805469512941,0.5567870485678705,0.0,3.0,0.0,0.0
416,416,1.0,0.0,0.9846748113632202,0.7819864414075111,1.0,3.0,0.25,0.0010309278350515464
403,403,0.0,1.0,0.975157618522644,0.6714326027654971,1.0,4.0,0.2,0.0010309278350515464
369,369,1.0,0.0,0.9724817872047424,0.7815070184435959,2.0,4.0,0.3333333333333333,0.002061855670103093
368,368,0.0,1.0,0.971882164478302,0.7309229651162791,2.0,5.0,0.2857142857142857,0.002061855670103093
415,415,0.0,1.0,0.9669594764709472,0.6686706746826987,2.0,6.0,0.25,0.002061855670103093
210,210,0.0,1.0,0.9662745594978333,0.3445777454888177,2.0,7.0,0.2222222222222222,0.002061855670103093
378,378,0.0,1.0,0.9657092094421388,0.562569573283859,2.0,8.0,0.2,0.002061855670103093
61,61,0.0,1.0,0.9621913433074952,0.7263427109974424,2.0,9.0,0.18181818181818182,0.002061855670103093
50,50,0.0,1.0,0.961162269115448,0.5608810022738419,2.0,10.0,0.16666666666666666,0.002061855670103093
402,402,0.0,1.0,0.95722496509552,0.668832250541396,2.0,11.0,0.15384615384615385,0.002061855670103093
389,389,0.0,1.0,0.9551706910133362,0.4944787122009929,2.0,12.0,0.14285714285714285,0.002061855670103093
165,165,0.0,1.0,0.945997714996338,0.7379106475542417,2.0,13.0,0.13333333333333333,0.002061855670103093
352,352,0.0,1.0,0.9393044710159302,0.6173190267492822,2.0,14.0,0.125,0.002061855670103093
428,428,0.0,1.0,0.93459290266037,0.4173656188461819,2.0,15.0,0.11764705882352941,0.002061855670103093
243,243,0.0,1.0,0.9311426281929016,0.7085201793721974,2.0,16.0,0.1111111111111111,0.002061855670103093
427,427,0.0,1.0,0.9271493554115297,0.7240896358543417,2.0,17.0,0.10526315789473684,0.002061855670103093
377,377,0.0,1.0,0.9258746504783629,0.6130507474429583,2.0,18.0,0.1,0.002061855670103093
72,72,0.0,1.0,0.9227129220962524,0.6896082351439874,2.0,19.0,0.09523809523809523,0.002061855670103093
49,49,0.0,1.0,0.9213654398918152,0.7409434399141179,2.0,20.0,0.09090909090909091,0.002061855670103093
